calculated_metric_key,calculated_metric_name,period_granularity,business_unit,show_name,partner_name,channel_name,value_kind,formula_type,numerator_metric_key,denominator_metric_key,status,version,notes
certificate_revenue_share,доля сертификатов в выручке,week,b2c_moscow,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
certificate_revenue_share,доля сертификатов в выручке,week,b2c_spb,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
channel_share_of_website_visits,доля каналов в посещаемости страниц,week,b2c_moscow,general,general,marketing_channel_names,ratio,share_of_partition_total,website_visits,website_visits,active,v1,Weekly channel share of total website visits within the business unit.
channel_share_of_website_visits,доля каналов в посещаемости страниц,week,b2c_spb,general,general,marketing_channel_names,ratio,share_of_partition_total,website_visits,website_visits,active,v1,Weekly channel share of total website visits within the business unit.
contribution_margin,Маржинальный доход,month,b2c_spb,general,general,general,currency,manual_definition_pending,,,draft,v0,Historical contribution margin from economics sheet.
contribution_margin,Маржинальный доход,month,general,general,general,general,currency,manual_definition_pending,,,draft,v0,Historical contribution margin from economics sheet.
ebit_margin,Рентабельность по EBIT,month,b2b,general,general,general,ratio,ratio_of_sums,ebit,revenue,active,v1,Monthly EBIT margin from PlanFact P&L by business unit.
ebit_margin,Рентабельность по EBIT,month,b2c_moscow,general,general,general,ratio,ratio_of_sums,ebit,revenue,active,v1,Monthly EBIT margin from PlanFact P&L by business unit.
ebit_margin,Рентабельность по EBIT,month,b2c_spb,general,general,general,ratio,ratio_of_sums,ebit,revenue,active,v1,Monthly EBIT margin from PlanFact P&L by business unit.
ebit_margin,Рентабельность по EBIT,month,franchise,general,general,general,ratio,ratio_of_sums,ebit,revenue,active,v1,Monthly EBIT margin from PlanFact P&L by business unit.
ebit_margin,Рентабельность по EBIT,month,general,general,general,general,ratio,ratio_of_sums,ebit,revenue,active,v1,Monthly EBIT margin from PlanFact P&L by business unit.
ebitda_margin,Рентабельность по EBITDA,month,b2b,general,general,general,ratio,ratio_of_sums,ebitda,revenue,active,v1,Monthly EBITDA margin from PlanFact P&L by business unit.
ebitda_margin,Рентабельность по EBITDA,month,b2c_moscow,general,general,general,ratio,ratio_of_sums,ebitda,revenue,active,v1,Monthly EBITDA margin from PlanFact P&L by business unit.
ebitda_margin,Рентабельность по EBITDA,month,b2c_spb,general,general,general,ratio,ratio_of_sums,ebitda,revenue,active,v1,Monthly EBITDA margin from PlanFact P&L by business unit.
ebitda_margin,Рентабельность по EBITDA,month,franchise,general,general,general,ratio,ratio_of_sums,ebitda,revenue,active,v1,Monthly EBITDA margin from PlanFact P&L by business unit.
ebitda_margin,Рентабельность по EBITDA,month,general,general,general,general,ratio,ratio_of_sums,ebitda,revenue,active,v1,Monthly EBITDA margin from PlanFact P&L by business unit.
ebt_margin,Рентабельность по EBT,month,b2b,general,general,general,ratio,ratio_of_sums,ebt,revenue,active,v1,Monthly EBT margin from PlanFact P&L by business unit.
ebt_margin,Рентабельность по EBT,month,b2c_moscow,general,general,general,ratio,ratio_of_sums,ebt,revenue,active,v1,Monthly EBT margin from PlanFact P&L by business unit.
ebt_margin,Рентабельность по EBT,month,b2c_spb,general,general,general,ratio,ratio_of_sums,ebt,revenue,active,v1,Monthly EBT margin from PlanFact P&L by business unit.
ebt_margin,Рентабельность по EBT,month,franchise,general,general,general,ratio,ratio_of_sums,ebt,revenue,active,v1,Monthly EBT margin from PlanFact P&L by business unit.
ebt_margin,Рентабельность по EBT,month,general,general,general,general,ratio,ratio_of_sums,ebt,revenue,active,v1,Monthly EBT margin from PlanFact P&L by business unit.
fixed_costs_calculated,Fixed costs,month,b2c_spb,general,general,general,currency,manual_definition_pending,,,draft,v0,Calculated cross-check for fixed-cost subtotal from children.
fixed_costs_calculated,Fixed costs,month,general,general,general,general,currency,manual_definition_pending,,,draft,v0,Calculated cross-check for fixed-cost subtotal from children.
fixed_costs_share_of_revenue,%постоянных расходов к выручке,month,b2c_spb,general,general,general,ratio,ratio_of_sums,fixed_costs,revenue,draft,v0,Fixed costs divided by revenue.
fixed_costs_share_of_revenue,%постоянных расходов к выручке,month,general,general,general,general,ratio,ratio_of_sums,fixed_costs,revenue,draft,v0,Fixed costs divided by revenue.
investment_costs_share_of_revenue,% инвестиций от выручки,month,b2c_moscow,general,general,general,ratio,ratio_of_sums,investment_costs,revenue,draft,v0,Investment costs divided by revenue.
marketing_cost_share_of_revenue,% общ. к выручке,week,b2c_moscow,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
negative_reviews_share_from_visitors,Процент негативных (от посетивших),week,b2c_moscow,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
negative_reviews_share_from_visitors,Процент негативных (от посетивших),week,b2c_spb,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
net_profit_margin,Рентабельность чистой прибыли,month,b2b,general,general,general,ratio,ratio_of_sums,net_profit,revenue,active,v1,Monthly net-profit margin from PlanFact P&L by business unit.
net_profit_margin,Рентабельность чистой прибыли,month,b2c_moscow,general,general,general,ratio,ratio_of_sums,net_profit,revenue,active,v1,Monthly net-profit margin from PlanFact P&L by business unit.
net_profit_margin,Рентабельность чистой прибыли,month,b2c_spb,general,general,general,ratio,ratio_of_sums,net_profit,revenue,active,v1,Monthly net-profit margin from PlanFact P&L by business unit.
net_profit_margin,Рентабельность чистой прибыли,month,franchise,general,general,general,ratio,ratio_of_sums,net_profit,revenue,active,v1,Monthly net-profit margin from PlanFact P&L by business unit.
net_profit_margin,Рентабельность чистой прибыли,month,general,general,general,general,ratio,ratio_of_sums,net_profit,revenue,active,v1,Monthly net-profit margin from PlanFact P&L by business unit.
operating_profit_margin,Операционная рентабельность,month,b2b,general,general,general,ratio,ratio_of_sums,operating_profit,revenue,active,v1,Monthly operating-profit margin from PlanFact P&L by business unit.
operating_profit_margin,Операционная рентабельность,month,b2c_moscow,general,general,general,ratio,ratio_of_sums,operating_profit,revenue,active,v1,Monthly operating-profit margin from PlanFact P&L by business unit.
operating_profit_margin,Операционная рентабельность,month,b2c_spb,general,general,general,ratio,ratio_of_sums,operating_profit,revenue,active,v1,Monthly operating-profit margin from PlanFact P&L by business unit.
operating_profit_margin,Операционная рентабельность,month,franchise,general,general,general,ratio,ratio_of_sums,operating_profit,revenue,active,v1,Monthly operating-profit margin from PlanFact P&L by business unit.
operating_profit_margin,Операционная рентабельность,month,general,general,general,general,ratio,ratio_of_sums,operating_profit,revenue,active,v1,Monthly operating-profit margin from PlanFact P&L by business unit.
overall_review_rating,Средняя общая,week,b2c_moscow,general,general,general,score,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
overall_review_rating,Средняя общая,week,b2c_moscow,b2c_show_names,general,general,score,ratio_of_sums,sum_of_post_show_ratings,number_of_show_rating_responses,active,v1,Weekly show-level average survey rating from summed ratings divided by response count.
overall_review_rating,Средняя общая,week,b2c_spb,general,general,general,score,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
overall_review_rating,Средняя общая,week,b2c_spb,b2c_show_names,general,general,score,ratio_of_sums,sum_of_post_show_ratings,number_of_show_rating_responses,active,v1,Weekly show-level average survey rating from summed ratings divided by response count.
partner_commission,Комиссия партнера,week,b2c_moscow,b2c_show_names,b2c_partner_names,general,currency,apply_partner_commission_rate,revenue,,active,v1,Weekly calculated partner commission from gross ERP revenue by show and partner using the approved commission-rate registry.
partner_commission,Комиссия партнера,week,b2c_spb,b2c_show_names,b2c_partner_names,general,currency,apply_partner_commission_rate,revenue,,active,v1,Weekly calculated partner commission from gross ERP revenue by show and partner using the approved commission-rate registry.
performer_salary_share_of_marketing_budget,%з/п исполнителей в бюджете на маркетинг от всего маркетинга,month,b2c_spb,general,general,general,ratio,manual_definition_pending,,,draft,v0,Historical marketing budget share metric; exact numerator to confirm.
performer_salary_share_of_marketing_budget,%з/п исполнителей в бюджете на маркетинг от всего маркетинга,month,general,general,general,general,ratio,manual_definition_pending,,,draft,v0,Historical marketing budget share metric; exact numerator to confirm.
post_show_protocol_completion_share,Процент заполненных протоколов ПОСЛЕ спектакля,week,b2c_moscow,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
post_show_protocol_completion_share,Процент заполненных протоколов ПОСЛЕ спектакля,week,b2c_spb,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
pre_show_protocol_completion_share,Процент заполненных протоколов ДО спектакля,week,b2c_moscow,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
returns_share_of_revenue,% возвратов от выручки,week,b2c_moscow,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
returns_share_of_revenue,% возвратов от выручки,week,b2c_spb,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending formula registration from live manual tables review.
share_of_margin,% к марже,month,b2c_spb,general,general,general,ratio,manual_definition_pending,,,draft,v0,Historical ratio to contribution margin; exact numerator depends on block.
share_of_margin,% к марже,month,general,general,general,general,ratio,manual_definition_pending,,,draft,v0,Historical ratio to contribution margin; exact numerator depends on block.
show_salary_share_of_revenue,% ФОТ в выручке ШОУ,month,b2c_moscow,general,general,general,ratio,manual_definition_pending,,,draft,v0,Historical ratio from economics sheet; exact numerator to confirm.
show_salary_share_of_revenue,% ФОТ в выручке ШОУ,month,b2c_spb,general,general,general,ratio,manual_definition_pending,,,draft,v0,Historical ratio from economics sheet; exact numerator to confirm.
variable_costs_calculated,Variable costs,month,b2c_spb,general,general,general,currency,manual_definition_pending,,,draft,v0,Calculated cross-check for variable-cost subtotal from children.
variable_costs_calculated,Variable costs,month,general,general,general,general,currency,manual_definition_pending,,,draft,v0,Calculated cross-check for variable-cost subtotal from children.
variable_costs_share_of_revenue,% переменных расходов к выручке,month,b2c_spb,general,general,general,ratio,ratio_of_sums,variable_costs,revenue,draft,v0,Variable costs divided by revenue.
variable_costs_share_of_revenue,% переменных расходов к выручке,month,general,general,general,general,ratio,ratio_of_sums,variable_costs,revenue,draft,v0,Variable costs divided by revenue.
marketing_costs_share_of_revenue,ДРР,week,b2c_moscow,general,general,general,ratio,ratio_of_sums,marketing_costs,revenue,active,v1,Weekly DRR for the whole business unit.
marketing_costs_share_of_revenue,ДРР,week,b2c_moscow,general,general,marketing_channel_names,ratio,ratio_of_sums,marketing_costs,revenue,active,v1,Weekly DRR by marketing channel.
marketing_costs_share_of_revenue,ДРР,week,b2c_spb,general,general,general,ratio,ratio_of_sums,marketing_costs,revenue,active,v1,Weekly DRR for the whole business unit.
marketing_costs_share_of_revenue,ДРР,week,b2c_spb,general,general,marketing_channel_names,ratio,ratio_of_sums,marketing_costs,revenue,active,v1,Weekly DRR by marketing channel.
marketing_costs_share_of_revenue,ДРР,month,b2c_moscow,general,general,general,ratio,ratio_of_sums,marketing_costs,revenue,active,v1,Monthly DRR for the whole business unit.
marketing_costs_share_of_revenue,ДРР,month,b2c_spb,general,general,general,ratio,ratio_of_sums,marketing_costs,revenue,active,v1,Monthly DRR for the whole business unit.
estimated_channel_orders_from_metrica_mix,Estimated channel orders,week,b2c_moscow,general,general,marketing_channel_names,count,allocate_total_by_partition_share,metrica_tracked_purchase_visits,website_orders,active,v2,Allocate total weekly website orders across channels using the Metrica tracked purchase mix.
estimated_channel_orders_from_metrica_mix,Estimated channel orders,week,b2c_spb,general,general,marketing_channel_names,count,allocate_total_by_partition_share,metrica_tracked_purchase_visits,website_orders,active,v2,Allocate total weekly website orders across channels using the Metrica tracked purchase mix.
site_order_conversion,Конверсия визит-заказ,week,b2c_moscow,b2c_show_names,general,general,ratio,ratio_of_sums,number_of_orders,website_visits,active,v1,Weekly show-level visit-to-order conversion from show page visits and orders.
site_order_conversion,Конверсия визит-заказ,week,b2c_spb,b2c_show_names,general,general,ratio,ratio_of_sums,number_of_orders,website_visits,active,v1,Weekly show-level visit-to-order conversion from show page visits and orders.
