row_number;col_a;col_b;ingestion_action_raw;ingestion_action;target_metric_or_metrics_raw;target_metric_or_metrics;source_system_override;import_as_source;layer;note
24;Сертификаты (продажи);сертификаты бумажные;map_to_metric;map_to_metric;Revenue;Revenue;;yes;source;Partner split for certificate revenue. UPD: treat as revenue only.
25;Сертификаты (продажи);сертификаты через партнеров;map_to_metric;map_to_metric;Revenue;Revenue;;yes;source;Partner split for certificate revenue. UPD: treat as revenue only.
26;Сертификаты (продажи);доля сертификатов в выручке;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio / calculated metric.
27;Спецпоказы (продажи) юкасса\по счету;Спецпоказы (продажи) юкасса\по счету;map_to_metric;map_to_metric;Revenue - Other;Revenue - Other;;yes;source;Observed revenue metric.
28;Другое юкасса;Другое юкасса;map_to_metric;map_to_metric;Revenue - Other;Revenue - Other;;yes;source;Observed revenue metric.
29;корпоратив;корпоратив;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
30;Сертификаты и билеты (бесплатные);Сертификаты и билеты (бесплатные);map_to_metric;map_to_metric;Number of free certificates and tickets;Number of free certificates and tickets;;yes;source;Observed metric.
31;Франшиза;Франшиза;map_to_metric;map_to_metric;Revenue;Revenue;;yes;source;Observed revenue for business_unit=franchise.
32;Средств на счете;Средств на счете;map_to_metric;map_to_metric;Account balance;Account balance;;yes;source;Observed balance metric.
33;Приход с депозита;Приход с депозита;map_to_metric;map_to_metric;Revenue - Financial operations;Revenue - Financial operations;;yes;source;Observed financial operations metric.
34;Сумма возвратов;Сумма возвратов;map_to_metric;map_to_metric;Returns amount;Returns amount;;yes;source;Observed returns amount.
35;Сумма возвратов;По вине театра;add_metric;map_to_metric;;Returns amount - theater fault;;no;exclude;Нужно руками уточнить интерпретацию.
36;Сумма возвратов;НЕ по вине театра;add_metric;map_to_metric;;Returns amount - non-theater fault;;no;exclude;Нужно руками уточнить интерпретацию.
37;Сумма возвратов;% возвратов от выручки;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio / calculated metric.
38;Всего билетов (выкуплено через сайт и все агрегаторы);Всего билетов (выкуплено через сайт и все агрегаторы);map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Observed tickets total.
39;Теракт-Возвраты;Теракт-Возвраты;exclude;exclude;;;;no;exclude;Crisis-specific legacy row.
40;Теракт - Оформлено сертификатами;Теракт - Оформлено сертификатами;exclude;exclude;;;;no;exclude;Crisis-specific legacy row.
41;Проведено шоу (БЕЗ СД);Проведено шоу (БЕЗ СД);map_to_metric;map_to_metric;Number of shows;Number of shows;;yes;source;Observed shows metric.
42;Отменено шоу (не СД);Отменено шоу (не СД);map_to_metric;map_to_metric;Number of shows cancelled;Number of shows cancelled;;yes;source;Observed cancellation metric.
43;Отменено шоу (не СД);Кол-во, где не выкуплены билеты;add_metric;map_to_metric;;Number of cancelled non-SD shows - no tickets sold;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
44;Отменено шоу (не СД);Кол-во из-за спецпоказов;add_metric;map_to_metric;;Number of cancelled non-SD shows - special shows;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
45;Отменено шоу (не СД);Кол-во из-за дефицита актёров/ мастеров;add_metric;map_to_metric;;Number of cancelled non-SD shows - actor/master shortage;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
46;Проведено СД;Проведено СД;map_to_metric;map_to_metric;Number of shows;Number of shows;;yes;source;Observed shows metric.
47;Отменено СД;Отменено СД;map_to_metric;map_to_metric;Number of shows cancelled;Number of shows cancelled;;yes;source;Observed cancellation metric.
48;Отменено СД;Кол-во, где не выкуплены билеты;add_metric;map_to_metric;;Number of cancelled SD shows - no tickets sold;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
49;Отменено СД;Кол-во из-за спецпоказов;add_metric;map_to_metric;;Number of cancelled SD shows - special shows;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
50;Отменено СД;Кол-во из-за дефицита актёров/ мастеров;add_metric;map_to_metric;;Number of cancelled SD shows - actor/master shortage;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.
51;Зрители дошедшие (без зрителей СД);Зрители дошедшие (без зрителей СД);map_to_metric;map_to_metric;Number of show visitors;Number of show visitors;;yes;source;Observed visitors metric.
52;Зрители дошедшие СД;Зрители дошедшие СД;map_to_metric;map_to_metric;Number of show visitors;Number of show visitors;;yes;source;Observed visitors metric.
53;Зрители по сертификатам;Зрители по сертификатам;map_to_metric;map_to_metric;Number of certificate visitors;Number of certificate visitors;;yes;source;Observed visitors metric.
54;Сложность составления расписания (1 min-5max);Сложность составления расписания (1 min-5max);map_to_metric;map_to_metric;Scheduling complexity;Scheduling complexity;;yes;source;Observed operational metric.
55;Средняя загрузка шоу (по факту дошедшие зрители);Средняя загрузка шоу (по факту дошедшие зрители);defer_to_calculated;defer_to_calculated;;;;no;calculated;Calculated layer.
56;Средняя загрузка шоу (выкупленные билеты);Средняя загрузка шоу (выкупленные билеты);defer_to_calculated;defer_to_calculated;;;;no;calculated;Calculated layer.
57;Средняя загрузка СД (по факту дошедшие зрители);Средняя загрузка СД (по факту дошедшие зрители);defer_to_calculated;defer_to_calculated;;;;no;calculated;Calculated layer.
58;Средняя загрузка СД (выкупленные билеты);Средняя загрузка СД (выкупленные билеты);defer_to_calculated;defer_to_calculated;;;;no;calculated;Calculated layer.
59;Маркетинг;Маркетинг;decompose_block;decompose_block;;;;no;exclude;Block header.
60;Маркетинг Каналы;Таргет c НДС_VK;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
61;Маркетинг Каналы;Таргет с НДС_MT;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
62;Маркетинг Каналы;Таргет с НДС_FB;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
63;Маркетинг Каналы;Ведение_таргет;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
64;Маркетинг Каналы;Youtube ведение;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
65;Маркетинг Каналы;Youtube бюджет;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
66;Маркетинг Каналы;Таргет_бюджет с НДС;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
67;Маркетинг Каналы;Контекст_бюджет с НДС_Яндекс;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
68;Маркетинг Каналы;Контекст_ведение_Яндекс;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
69;Маркетинг Каналы;Контекст_бюджет с НДС_Гугл;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
70;Маркетинг Каналы;Контекст_ведение_Гугл;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
71;Маркетинг Каналы;Пиар;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
72;Маркетинг Каналы;Прочие затраты;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
73;Маркетинг Каналы;Общие затраты;map_to_metric;map_to_metric;Marketing costs;Marketing costs;;yes;source;Channel-level marketing cost row.
74;Маркетинг Каналы;% общ. к выручке;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio / calculated metric.
75;;;blank;;;;;no;exclude;Пустая строка-разделитель.
76;САЙТ;САЙТ;decompose_block;decompose_block;"Website visits; Number of orders; Number of tickets; Revenue";"Website visits; Number of orders; Number of tickets; Revenue";;no;exclude;Block header / mixed site block row.
77;САЙТ;cеансы (морфеус) ВИЗИТЫ БЕЗ corporative;map_to_metric;map_to_metric;Website visits;Website visits;;yes;source;Observed website visits.
78;САЙТ;заказов всего (Я.билеты);map_to_metric;map_to_metric;Number of orders;Number of orders;;yes;source;Observed orders metric.
79;САЙТ;билетов всего (Я.билеты);map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Observed tickets metric.
80;САЙТ;конверсия в заказ,%;defer_to_calculated;defer_to_calculated;;;;no;calculated;Conversion ratio belongs to calculated layer.
81;САЙТ;конверсия в билет из сеанса, %;defer_to_calculated;defer_to_calculated;;;;no;calculated;Conversion ratio belongs to calculated layer.
82;САЙТ;сеансы corporative ВИЗИТЫ;map_to_metric;map_to_metric;Website visits;Website visits;;yes;source;Website visits metric.
83;САЙТ;визиты(immersivny);map_to_metric;map_to_metric;Website visits;Website visits;;yes;source;Observed website visits.
84;САЙТ;кол-во покупок immersviny (промокоды);map_to_metric;map_to_metric;Number of orders;Number of orders;;yes;source;Observed orders metric.
85;САЙТ;покупок в деньгах immersivny;map_to_metric;map_to_metric;Revenue;Revenue;;yes;source;Observed revenue metric.
86;САЙТ;покупок сервисы корп. привилегий;map_to_metric;map_to_metric;Number of orders;Number of orders;;yes;source;Observed orders metric.
87;САЙТ;покупок в деньгах сервисы корп.привилегий;map_to_metric;map_to_metric;Revenue;Revenue;;yes;source;Observed revenue metric.
88;;;blank;;;;;no;exclude;Пустая строка-разделитель.
89;ФРАНШИЗА;ФРАНШИЗА;decompose_block;decompose_block;"Revenue; Number of leads; Quality - External";"Revenue; Number of leads; Quality - External";;no;exclude;Block header or mixed row.
90;ФРАНШИЗА;Кол-во заявок всего;map_to_metric;map_to_metric;Number of leads;Number of leads;;yes;source;Observed franchise lead metric.
91;ФРАНШИЗА;"Кол-во завок_ ""качественные""";exclude;exclude;Number of leads;Number of leads;;yes;source;Observed franchise lead metric.
92;ФРАНШИЗА;"Кол-во заявок_""левые""";exclude;exclude;Number of leads;Number of leads;;yes;source;Observed franchise lead metric.
93;;;blank;;;;;no;exclude;Пустая строка-разделитель.
94;КОРПОРАТИВЫ;КОРПОРАТИВЫ;decompose_block;decompose_block;"Number of leads; Number of creative meetings";"Number of leads; Number of creative meetings";;no;exclude;Block header.
95;КОРПОРАТИВЫ;Кол-во новых заявок;map_to_metric;map_to_metric;Number of leads;Number of leads;;yes;source;Observed B2B lead metric.
96;КОРПОРАТИВЫ;В работе сейчас;defer_to_calculated;defer_to_calculated;;;;no;exclude;Pipeline status snapshot, not canonical fact yet.
97;;;blank;;;;;no;exclude;Пустая строка-разделитель.
98;ОТЗЫВЫ;ОТЗЫВЫ;decompose_block;decompose_block;Quality - External;Quality - External;;no;exclude;Block header.
99;ОТЗЫВЫ;Кол-во новых на Яндекс-картах (всего);add_metric;map_to_metric;Quality - External;Number of new Yandex Maps reviews;;yes;source;Observed external quality metric.
100;ОТЗЫВЫ;Из них настоящих;add_metric;map_to_metric;Quality - External;Number of genuine reviews;;yes;source;Observed external quality metric.
101;ОТЗЫВЫ;Из них ненастоящих;add_metric;map_to_metric;Quality - External;Number of non-genuine reviews;;yes;source;Observed external quality metric.
102;ОТЗЫВЫ;Средняя оценка по отзывам за неделю (общая);defer_to_calculated;defer_to_calculated;;;;no;calculated;Average score belongs to calculated layer.
103;ОТЗЫВЫ;Средняя оценка по отзывам за неделю (по настоящим);defer_to_calculated;defer_to_calculated;;;;no;calculated;Average score belongs to calculated layer.
104;ОТЗЫВЫ;Процент негативных (от посетивших);defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio metric belongs to calculated layer.
105;ОТЗЫВЫ;Ликвидировано негативных;add_metric;map_to_metric;Quality - External;Number of resolved negative reviews;;yes;source;Observed external quality metric.
106;ОТЗЫВЫ;Средняя оценка за неделю без негативных, если ликвидировали (общая);defer_to_calculated;defer_to_calculated;;;;no;calculated;Average score belongs to calculated layer.
107;ОТЗЫВЫ;Средняя общая;defer_to_calculated;defer_to_calculated;;;;no;calculated;Average score belongs to calculated layer.
108;ОЦЕНКИ НА ПЛАНШЕТЕ;ОЦЕНКИ НА ПЛАНШЕТЕ;decompose_block;decompose_block;Quality - Internal;Quality - Internal;;no;exclude;Block header.
109;ОЦЕНКИ НА ПЛАНШЕТЕ;Процент заполнивших от всех зрителей;Change_source_to_ERP - Defer_to_calculates;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;Ratio metric belongs to calculated layer.
110;ОЦЕНКИ НА ПЛАНШЕТЕ;Средняя оценка;UPD: Defer_to_calculated;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;UPD: defer to calculated.
111;ОЦЕНКИ НА ПЛАНШЕТЕ;Ответ Гиппократа;UPD: Defer_to_calculated;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;UPD: defer to calculated.
112;ОЦЕНКИ НА ПЛАНШЕТЕ;22’07;UPD: Defer_to_calculated;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;UPD: defer to calculated.
113;ОЦЕНКИ НА ПЛАНШЕТЕ;До свадьбы доживет;UPD: Defer_to_calculated;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;UPD: defer to calculated.
114;ОЦЕНКИ НА ПЛАНШЕТЕ;Загадка амулета;UPD: Defer_to_calculated;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;UPD: defer to calculated.
115;ОЦЕНКИ НА ПЛАНШЕТЕ;ВДОХ;UPD: Defer_to_calculated;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;UPD: defer to calculated.
116;ОЦЕНКИ НА ПЛАНШЕТЕ;Иное Место;UPD: Defer_to_calculated;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;UPD: defer to calculated.
117;ОЦЕНКИ НА ПЛАНШЕТЕ;Судный день;UPD: Defer_to_calculated;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;UPD: defer to calculated.
118;Откуда пришли;Откуда пришли;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
119;Откуда пришли;От друзей;UPD: Defer_to_calculated;defer_to_calculated;Number of source-attribution responses;Number of source-attribution responses;erp;no;calculated;UPD: defer to calculated.
120;Откуда пришли;Наш сайт;UPD: Defer_to_calculated;defer_to_calculated;Number of source-attribution responses;Number of source-attribution responses;erp;no;calculated;UPD: defer to calculated.
121;Откуда пришли;Яндекс Афиша;UPD: Defer_to_calculated;defer_to_calculated;Number of source-attribution responses;Number of source-attribution responses;erp;no;calculated;UPD: defer to calculated.
122;Откуда пришли;Карты Яндекс, Google, 2ГИС;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
123;Откуда пришли;Уже был;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
124;Откуда пришли;Подарили сертификат;UPD: Defer_to_calculated;defer_to_calculated;Number of source-attribution responses;Number of source-attribution responses;erp;no;calculated;UPD: defer to calculated.
125;Откуда пришли;Другое;UPD: Defer_to_calculated;defer_to_calculated;Number of source-attribution responses;Number of source-attribution responses;erp;no;calculated;UPD: defer to calculated.
126;Откуда пришли;Афиша.ру (Т-банк);UPD: Defer_to_calculated;defer_to_calculated;Number of source-attribution responses;Number of source-attribution responses;erp;no;calculated;UPD: defer to calculated.
127;Откуда пришли;Google поиск;UPD: Defer_to_calculated;defer_to_calculated;Number of source-attribution responses;Number of source-attribution responses;erp;no;calculated;UPD: defer to calculated.
128;Откуда пришли;Яндекс поиск;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
129;Откуда пришли;Яндекс реклама (РЕКЛАМА В ИНЕТЕ);UPD: Defer_to_calculated;defer_to_calculated;Number of source-attribution responses;Number of source-attribution responses;erp;no;calculated;UPD: defer to calculated.
130;Откуда пришли;Instagram (СОЦ СЕТИ);UPD: Defer_to_calculated;defer_to_calculated;Number of source-attribution responses;Number of source-attribution responses;erp;no;calculated;UPD: defer to calculated.
131;Откуда пришли;Kuda Moscow;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
132;Откуда пришли;Kuda go;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
133;Откуда пришли;Иммерсивный.ру;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
134;Откуда пришли;ВК;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
135;Откуда пришли;Сервис Best Benefits;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
136;Откуда пришли;Тикетленд;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
137;Откуда пришли;Primezone;Change_source_to_ERP;map_to_metric;Number of source-attribution responses;Number of source-attribution responses;erp;yes;source;Observed source-share metric.
138;ОКК;ОКК;decompose_block;decompose_block;Quality - Internal;Quality - Internal;;no;exclude;Block header.
139;ОКК;Кол-во отсмотренных спектаклей;add_metric;map_to_metric;Quality - Internal;Number of reviewed shows;;yes;source;Observed internal quality metric.
140;ОКК;Процент без нарушений от отсмотренных;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio metric belongs to calculated layer.
141;ОКК;Количество предупреждений;add_metric;map_to_metric;Quality - Internal;Number of warnings;;yes;source;Observed internal quality metric.
142;ОКК;Количество штрафов;add_metric;map_to_metric;Quality - Internal;Number of fines;;yes;source;Observed internal quality metric.
143;ОКК;Количество отстранений от спектакля;add_metric;map_to_metric;Quality - Internal;Number of show removals;;yes;source;Observed internal quality metric.
144;ПРОТОКОЛ-БОТ;ПРОТОКОЛ-БОТ;decompose_block;decompose_block;Quality - Internal;Quality - Internal;;no;exclude;Block header.
145;ПРОТОКОЛ-БОТ;Процент заполненных протоколов ДО спектакля;Change_source_to_ERP - Defer_to_calculates;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;Ratio metric belongs to calculated layer.
146;ПРОТОКОЛ-БОТ;Процент заполненных протоколов ПОСЛЕ спектакля;Change_source_to_ERP - Defer_to_calculates;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;Ratio metric belongs to calculated layer.
147;ПРОТОКОЛ-БОТ;;decompose_block;decompose_block;Quality - Internal;Quality - Internal;;no;exclude;Block header.
148;ПРОТОКОЛ-БОТ;Всего заполненных ОГ;Change_source_to_ERP - Defer_to_calculates;defer_to_calculated;Quality - Internal;Quality - Internal;erp;yes;source;Observed internal quality metric.
149;ПРОТОКОЛ-БОТ;Процент от общего количества ОГ;Change_source_to_ERP - Defer_to_calculates;defer_to_calculated;Quality - Internal;Quality - Internal;erp;no;calculated;Ratio metric belongs to calculated layer.
150;ПРОТОКОЛ-БОТ;Из них;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
151;ПРОТОКОЛ-БОТ;ГАМАЗ;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
152;ПРОТОКОЛ-БОТ;НИКОЛА;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
153;ПРОТОКОЛ-БОТ;МАКС;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
154;ПРОТОКОЛ-БОТ;ГЛЕБ;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
155;ПРОТОКОЛ-БОТ;КСЕНИЯ;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
156;ПРОТОКОЛ-БОТ;АНДРЕЙ;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
157;ПРОТОКОЛ-БОТ;АЛЕКС;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
158;ПРОТОКОЛ-БОТ;ТЁМА;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
159;ПРОТОКОЛ-БОТ;ВАСИЛИЙ;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
160;ПРОТОКОЛ-БОТ;ИВАН;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
161;ПРОТОКОЛ-БОТ;СЕРЖ;exclude;exclude;Quality - Internal;Quality - Internal;;yes;source;Observed internal quality metric.
162;Процент ОГ с убийствами;Процент ОГ с убийствами;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio metric belongs to calculated layer.
163;Процент ОГ с убийствами;ГАМАЗ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
164;Процент ОГ с убийствами;НИКОЛА;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
165;Процент ОГ с убийствами;МАКС;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
166;Процент ОГ с убийствами;ГЛЕБ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
167;Процент ОГ с убийствами;КСЕНИЯ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
168;Процент ОГ с убийствами;АНДРЕЙ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
169;Процент ОГ с убийствами;АЛЕКС;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
170;Процент ОГ с убийствами;ТЁМА;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
171;Процент ОГ с убийствами;ВАСИЛИЙ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
172;Процент ОГ с убийствами;ИВАН;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
173;Процент ОГ с убийствами;СЕРЖ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
174;Процент ОГ с убийствами больше 1;Процент ОГ с убийствами больше 1;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio metric belongs to calculated layer.
175;Процент ОГ с 1 убийством;Процент ОГ с 1 убийством;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio metric belongs to calculated layer.
176;Количество погибших всего на ОГ;Количество погибших всего на ОГ;map_to_metric;map_to_metric;Number of deaths on OG;Number of deaths on OG;;yes;source;Observed incident metric.
177;Количество погибших всего на ОГ;ГАМАЗ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
178;Количество погибших всего на ОГ;НИКОЛА;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
179;Количество погибших всего на ОГ;МАКС;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
180;Количество погибших всего на ОГ;ГЛЕБ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
181;Количество погибших всего на ОГ;КСЕНИЯ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
182;Количество погибших всего на ОГ;АНДРЕЙ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
183;Количество погибших всего на ОГ;АЛЕКС;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
184;Количество погибших всего на ОГ;ТЁМА;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
185;Количество погибших всего на ОГ;ВАСИЛИЙ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
186;Количество погибших всего на ОГ;ИВАН;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
187;Количество погибших всего на ОГ;СЕРЖ;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
188;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;defer_to_calculated;defer_to_calculated;;;;no;calculated;Ratio metric belongs to calculated layer.
189;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Глеб;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
190;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Гамаз;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
191;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Тёма;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
192;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Макс;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
193;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;Андрей;exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
