row_number,col_a,col_b,ingestion_action,target_metric_or_metrics,import_as_source,layer,note
96,Кол-во отсмотренных ОГ,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
97,Процент отсмотренных от общего кол-ва ОГ,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
98,"Процент ОГ, где зрители вышли за фельдшером",,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
99,Процент с убийствами,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
100,С убийствами больше 1,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
101,С 1 убийством,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
102,Кол-во убийств,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
103,Ник,,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
104,Алина,,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
105,Даня Рагин,,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
106,Даня Богомолов,,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
107,Женя Аршинов,,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
108,Влад,,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
109,Влад Подольский,,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
110,Саша Шеина,,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
111,Олег,,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
112,процент от общего кол-ва зрителей (из отсмотренных спектаклей),,defer_to_calculated,,no,calculated,Ratio / calculated metric.
113,ПРОТОКОЛ-БОТ NEW,,decompose_block,Quality - Internal,no,exclude,Block header.
114,Процент заполненных протоколов ПОСЛЕ спектакля,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
115,Всего заполненных ОГ,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
116,Процент от общего количества ОГ,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
117,Из них,,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
118,Процент ОГ с убийствами,,map_to_metric,Share of OG with murders,yes,source,Observed ratio metric.
119,Процент ОГ с убийствами больше 1,,map_to_metric,Share of OG with more than one murder,yes,source,Observed ratio metric.
120,Процент ОГ с 1 убийством,,map_to_metric,Share of OG with one murder,yes,source,Observed ratio metric.
121,Количество погибших всего на ОГ,,map_to_metric,Number of deaths on OG,yes,source,Observed incident metric.
122,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",,map_to_metric,Share killed of total viewers passed through master on OG,yes,source,Observed ratio metric.
123,"Процент ОГ, где зрители вышли за фельдшером/ выжили",,map_to_metric,Share of OG where viewers went for paramedic and survived,yes,source,Observed ratio metric.
124,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",,map_to_metric,Share of OG where viewers did not go for paramedic and did not survive,yes,source,Observed ratio metric.
