row_number,source_business_unit,source_label,formula_or_input,filled_cell_count,layer,canonical_metric,business_unit,show,channel,agent,merge_rule,mapping_status,mapping_note
126,Москва,Зарплата на разработку шоу,formula,23,fact,Costs - Salary variable,b2c_moscow,,general,general,sum,mapped,
127,Москва,"Сайт, презентации, дизайн",formula,23,fact,Marketing costs,b2c_moscow,general,other,general,sum,mapped,
135,Москва,Европейская франшиза,formula,3,fact,Revenue,b2c_moscow,general,general,general,sum,mapped,
136,Москва,"Итого, расходы инвестиции Москва",formula,64,fact,Investment costs,b2c_moscow,general,general,general,sum,mapped,
138,Спб,Инвестии в Петербург,formula,13,fact,Investment costs,b2c_spb,general,general,general,sum,mapped,
148,Спб,Реализация шоу,input,13,fact,Revenue,b2c_spb,general,general,general,sum,mapped,
149,Спб,Реализация СД,input,3,fact,Revenue,b2c_spb,sd,general,general,sum,mapped,
151,Спб,Выручка_сертификаты с понижающем кэфом,formula,13,fact,Revenue,b2c_spb,certificate,general,general,sum,mapped,
153,Спб,Спецпроекты_корпоративы,input,3,fact,Revenue,b2c_spb,general,general,general,sum,mapped,
156,Спб,ЗП актеров по начислению,input,13,fact,Costs - Salary variable,b2c_spb,general,general,general,sum,mapped,actor payroll belongs to variable salary
158,Спб,Зарплаты на 1 шоу,formula,13,fact,Costs - Salary variable,b2c_spb,,general,general,sum,mapped,
159,Спб,ЗП СД,input,3,fact,Costs - Salary variable,b2c_spb,sd,general,general,sum,mapped,show-linked actor payroll belongs to variable salary
161,Спб,Зарплаты на 1 шоу,formula,3,fact,Costs - Salary variable,b2c_spb,,general,general,sum,mapped,
162,Спб,Митя_Бонус СД,input,5,fact,Costs - Salary variable,b2c_spb,sd,general,general,sum,mapped,show-linked bonus
163,Спб,Комиссии платежных систем,formula,12,fact,Cost article - Комиссия,b2c_spb,general,general,general,sum,mapped,
164,Спб,Комиссии платежных систем (агрегаторы),formula,13,fact,Cost article - Комиссия,b2c_spb,general,general,general,sum,mapped,
165,Спб,Комиссии платежных систем (агрегаторы_ДТЗК),formula,13,fact,Cost article - Комиссия,b2c_spb,general,general,general,sum,mapped,
166,Спб,Налог6%,formula,13,fact,Cost article - Налог на прибыль (доходы),b2c_spb,general,general,general,sum,mapped,
167,Спб,Налог страховые взносы,input,2,fact,Cost article - Страховые взносы,b2c_spb,general,general,general,sum,mapped,
168,Спб,Возвраты,formula,8,fact,Returns amount,b2c_spb,general,general,general,sum,mapped,
169,Спб,Логистика (командировки Москвы в Питер),formula,12,fact,Business travel costs,b2c_spb,general,general,general,sum,mapped,
170,Спб,Прочие расходы,formula,9,fact,Other expenses,b2c_spb,general,general,general,sum,mapped,
171,Спб,Общие расходы спецпроекты_корпоративы,input,3,fact,Show production costs,b2c_spb,general,general,general,sum,mapped,B2B production expense
176,Спб,Контекстная реклама_ведение_ритейл,input,13,fact,Marketing costs,b2c_spb,general,direct,general,sum,mapped,
177,Спб,Контекст_бюджет_ритейл,input,13,fact,Marketing costs,b2c_spb,general,direct,general,sum,mapped,
178,Спб,Инстаграм_ведение,input,2,fact,Marketing costs,b2c_spb,general,smm,general,sum,mapped,
179,Спб,"Размещение у блогеров, афишах, дзене, паблики",formula,13,fact,Marketing costs,b2c_spb,general,pr,general,sum,mapped,
180,Спб,PR,input,2,fact,Marketing costs,b2c_spb,general,pr,general,sum,mapped,
181,Спб,Кросс-промо и SEO,input,6,fact,Marketing costs,b2c_spb,general,pr,general,sum,mapped,
182,Спб,Прочие расходы на рекламу,formula,10,fact,Marketing costs,b2c_spb,general,other,general,sum,mapped,
188,Спб,Аренда помещения и коммуналка,formula,13,fact,Venue and office costs,b2c_spb,general,general,general,sum,mapped,
189,Спб,"ЗП худрука, админов и ХПЧ",input,13,fact,Costs - Salary fixed,b2c_spb,,general,general,sum,mapped,
190,Спб,ЗП директор фикс,input,2,fact,Costs - Salary fixed,b2c_spb,,general,general,sum,mapped,
191,Спб,Разработка и IT,input,2,fact,Cost article - IT ФОТ,b2c_spb,general,general,general,sum,mapped,
192,Спб,Подарки,formula,12,fact,Team expenses,b2c_spb,general,general,general,sum,mapped,
193,Спб,Уборка помещения,formula,13,fact,Cost article - Уборка,b2c_spb,general,general,general,sum,mapped,
194,Спб,Ремонт помещения,formula,13,fact,Cost article - Ремонт и обслуживание,b2c_spb,general,general,general,sum,mapped,
195,Спб,Хоз.расходы на помещение,formula,11,fact,Cost article - Расходники (офисные),b2c_spb,general,general,general,sum,mapped,
196,Спб,Расходы на проведение спектаклей,formula,10,fact,Show production costs,b2c_spb,general,general,general,sum,mapped,
197,Спб,Реквизит для проведения спектаклей,formula,11,fact,Cost article - Реквизит/костюмы,b2c_spb,general,general,general,sum,mapped,
198,Спб,Электронные и бухгалтерские сервисы,formula,13,fact,Services and setup costs,b2c_spb,general,general,general,sum,mapped,
203,Москва,Прибыль_театр Москва,formula,39,fact,Net profit,b2c_moscow,general,general,general,sum,mapped,
204,Спб,Прибыль_театр Петербург,formula,13,fact,Net profit,b2c_spb,general,general,general,sum,mapped,
205,Франшиза,Прибыль_франшиза,formula,23,fact,Net profit,franchise,general,general,general,sum,mapped,
206,Франшиза,Прибыль_Китай,formula,8,fact,Net profit,franchise,general,general,general,sum,mapped,
207,B2B,Прибыль_корпоратив Москва,formula,21,fact,Net profit,b2b,general,general,general,sum,mapped,
208,B2B,Прибыль_корпоратив Петербург,formula,3,fact,Net profit,b2b,general,general,general,sum,mapped,
209,B2B,Прибыль_корпоратив общая,formula,3,fact,Net profit,b2b,general,general,general,sum,mapped,
211,Общее,Директорский процент,input,2,fact,Cost article - Директорский процент,total,general,general,general,sum,mapped,historical owner distribution cost article used in total net profit bridge
212,Москва,Театр Москва,formula,13,fact,Net profit,b2c_moscow,general,general,general,sum,mapped,
213,Спб,Театр Петербург,input,13,fact,Net profit,b2c_spb,general,general,general,sum,mapped,
214,B2B,Корпоратив,formula,13,fact,Net profit,b2b,general,general,general,sum,mapped,
215,Франшиза,Франшиза,formula,10,fact,Net profit,franchise,general,general,general,sum,mapped,
216,Франшиза,Китай,formula,6,fact,Net profit,franchise,general,general,general,sum,mapped,
221,Франшиза,Прибыль от европейской франшизы,input,3,fact,Net profit,franchise,general,general,general,sum,mapped,
