section,business_unit,marketing_channel,pnl_node_name,pnl_node_path,parent_pnl_node_path,level,has_children,node_role,mapping_action,canonical_metric,canonical_metric_options,canonical_metric_kind,structure_hint,source_note
Расходы,general,,Другое ФОТ,Переменные > ФОТ - Переменные > Другое ФОТ,Переменные > ФОТ - Переменные,3,no,leaf,use_existing,Cost article - Другое ФОТ,,existing,,
Расходы,general,,IT ФОТ,Переменные > ФОТ - Переменные > IT ФОТ,Переменные > ФОТ - Переменные,3,no,leaf,use_existing,Cost article - IT ФОТ,,existing,,
Расходы,,,Актёры ФОТ,Переменные > ФОТ - Переменные > Актёры ФОТ,Переменные > ФОТ - Переменные,3,no,leaf,use_existing,Cost article - Актёры ФОТ,,existing,,
Расходы,,,ПРЕМИИ 2025,Переменные > ПРЕМИИ 2025,Переменные,2,yes,observed_rollup,use_existing,Annual bonuses,,existing,,
Расходы,,,Премии управленч персонал,Переменные > ПРЕМИИ 2025 > Премии управленч персонал,Переменные > ПРЕМИИ 2025,3,no,leaf,use_existing,Cost article - Премии управленч персонал,,existing,,
Расходы,,,Премии административный персонал,Переменные > ПРЕМИИ 2025 > Премии административный персонал,Переменные > ПРЕМИИ 2025,3,no,leaf,use_existing,Cost article - Премии административный персонал,,existing,,
Расходы,,,Премии актёры,Переменные > ПРЕМИИ 2025 > Премии актёры,Переменные > ПРЕМИИ 2025,3,no,leaf,use_existing,Cost article - Премии актёры,,existing,,
Расходы,b2b,,Корпоративы ЗП проектные,Переменные > Корпоративы ЗП проектные,Переменные,2,no,leaf,use_existing,Costs - Salary variable,,existing,,
Расходы,,,Страховые взносы,Переменные > Страховые взносы,Переменные,2,no,leaf,use_existing,Cost article - Страховые взносы,,existing,Taxes and Contributions,
Расходы,,,Комиссия,Переменные > Комиссия,Переменные,2,no,leaf,use_existing,Cost article - Комиссия,,existing,,
Расходы,,,Другое,Переменные > Другое,Переменные,2,no,leaf,use_existing,Cost article - Другое,,existing,Other expenses,
Расходы,b2b,,Расходы на B2B (продакшн),Переменные > Расходы на B2B (продакшн),Переменные,2,no,leaf,use_existing,Show production costs,,existing,,
Расходы,,,Возвраты,Переменные > Возвраты,Переменные,2,no,leaf,use_existing,Returns amount,,existing,,
Расходы,b2c,,Для спектаклей,Переменные > Для спектаклей,Переменные,2,yes,observed_rollup,use_existing,Show production costs,,existing,,
Расходы,,,Тех оснащение,Переменные > Для спектаклей > Тех оснащение,Переменные > Для спектаклей,3,no,leaf,use_existing,Cost article - Тех оснащение,,existing,,
Расходы,,,Реквизит/костюмы,Переменные > Для спектаклей > Реквизит/костюмы,Переменные > Для спектаклей,3,no,leaf,use_existing,Cost article - Реквизит/костюмы,,existing,,
Расходы,general,,Маркетинг и реклама,Переменные > Маркетинг и реклама,Переменные,2,yes,observed_rollup,use_existing,Marketing costs,,existing,,
Расходы,,pos,Маркетинг и реклама - Услуги типографии,Переменные > Маркетинг и реклама > Маркетинг и реклама - Услуги типографии,Переменные > Маркетинг и реклама,3,no,leaf,use_existing,Marketing costs,,existing,,
Расходы,,general,Маркетинг и реклама - Общее,Переменные > Маркетинг и реклама > Маркетинг и реклама - Общее,Переменные > Маркетинг и реклама,3,no,leaf,use_existing,Marketing costs,,existing,,
Расходы,,pr,Маркетинг и реклама - PR и отзывы,Переменные > Маркетинг и реклама > Маркетинг и реклама - PR и отзывы,Переменные > Маркетинг и реклама,3,no,leaf,use_existing,Marketing costs,,existing,,
Расходы,,smm,Маркетинг и реклама - SMM,Переменные > Маркетинг и реклама > Маркетинг и реклама - SMM,Переменные > Маркетинг и реклама,3,no,leaf,use_existing,Marketing costs,,existing,,
Расходы,,direct,Маркетинг и реклама - Директ,Переменные > Маркетинг и реклама > Маркетинг и реклама - Директ,Переменные > Маркетинг и реклама,3,no,leaf,use_existing,Marketing costs,,existing,,
Расходы,,partners,Маркетинг и реклама - Агентские,Переменные > Маркетинг и реклама > Маркетинг и реклама - Агентские,Переменные > Маркетинг и реклама,3,no,leaf,use_existing,Marketing costs,,existing,,
Расходы,,,Командные,Переменные > Командные,Переменные,2,yes,observed_rollup,create_new,Team expenses,,candidate_new_rollup,,
Расходы,,,Представительские,Переменные > Командные > Представительские,Переменные > Командные,3,no,leaf,use_existing,Cost article - Представительские,,existing,,
Расходы,,,Логистика,Переменные > Логистика,Переменные,2,yes,observed_rollup,create_new,Variable logistics costs,,candidate_new_rollup,,
Расходы,,,Такси,Переменные > Логистика > Такси,Переменные > Логистика,3,no,leaf,use_existing,Cost article - Такси,,existing,,
Расходы,,,Доставка,Переменные > Логистика > Доставка,Переменные > Логистика,3,no,leaf,use_existing,Cost article - Доставка,,existing,,
Расходы,,,Разные налоги и взносы,Переменные > Разные налоги и взносы,Переменные,2,no,leaf,create_new,Cost article - Разные налоги и взносы,,candidate_new_metric,Taxes and contributions,
Расходы,,,Директорский процент,Переменные > Директорский процент,Переменные,2,no,leaf,use_existing,Cost article - Директорский процент,,existing,Owner distribution cost article,
Расходы,,,Постоянные,Постоянные,,1,yes,observed_rollup,use_existing,Fixed costs,,existing,,
Расходы,,,ФОТ - Постоянные,Постоянные > ФОТ - Постоянные,Постоянные,2,yes,observed_rollup,use_existing,Costs - Salary fixed,,existing,,
Расходы,,,Управленческий персонал ФОТ,Постоянные > ФОТ - Постоянные > Управленческий персонал ФОТ,Постоянные > ФОТ - Постоянные,3,no,leaf,use_existing,Cost article - Управленческий персонал ФОТ,,existing,Costs - Salary fixed,
Расходы,,,Административный персонал ФОТ,Постоянные > ФОТ - Постоянные > Административный персонал ФОТ,Постоянные > ФОТ - Постоянные,3,no,leaf,use_existing,Cost article - Административный персонал ФОТ,,existing,Costs - Salary fixed,
Расходы,b2b,,Корпоративы фикс,Постоянные > ФОТ - Постоянные > Корпоративы фикс,Постоянные > ФОТ - Постоянные,3,no,leaf,use_existing,Costs - Salary fixed,,existing,,
Расходы,,,Помещение и офис,Постоянные > Помещение и офис,Постоянные,2,yes,observed_rollup,use_existing,Venue and office costs,,existing,,
Расходы,,,Уборка,Постоянные > Помещение и офис > Уборка,Постоянные > Помещение и офис,3,no,leaf,use_existing,Cost article - Уборка,,existing,,
Расходы,,,Мебель и предметы интерьера,Постоянные > Помещение и офис > Мебель и предметы интерьера,Постоянные > Помещение и офис,3,no,leaf,use_existing,Cost article - Мебель и предметы интерьера,,existing,,
Расходы,,,Ремонт и обслуживание,Постоянные > Помещение и офис > Ремонт и обслуживание,Постоянные > Помещение и офис,3,no,leaf,use_existing,Cost article - Ремонт и обслуживание,,existing,,
Расходы,,,Расходники (офисные),Постоянные > Помещение и офис > Расходники (офисные),Постоянные > Помещение и офис,3,no,leaf,use_existing,Cost article - Расходники (офисные),,existing,,
Расходы,,,Ежемесячные счета,Постоянные > Помещение и офис > Ежемесячные счета,Постоянные > Помещение и офис,3,no,leaf,use_existing,Cost article - Ежемесячные счета,,existing,,
Расходы,,,Аренда и коммуналка,Постоянные > Помещение и офис > Аренда и коммуналка,Постоянные > Помещение и офис,3,no,leaf,use_existing,Cost article - Аренда и коммуналка,,existing,,
Расходы,,,Сервисы и их настройка,Постоянные > Сервисы и их настройка,Постоянные,2,no,observed_rollup,use_existing,Services and setup costs,,existing,Standalone fixed-cost article group without bank commissions and video review,,
Расходы,,,КОМИССИИ БАНКОВ,Переменные > КОМИССИИ БАНКОВ,Переменные,2,no,leaf,use_existing,Cost article - КОМИССИИ БАНКОВ,,existing,Separate variable-cost article,,
Расходы,,,Отсмотр видео,Переменные > Отсмотр видео,Переменные,2,no,leaf,use_existing,Cost article - Отсмотр видео,,existing,Separate variable-cost article,,
Расходы,,,Командировочные,Постоянные > Командировочные,Постоянные,2,yes,observed_rollup,create_new,Business travel costs,,candidate_new_rollup,,
Расходы,,,Транспорт,Постоянные > Командировочные > Транспорт,Постоянные > Командировочные,3,no,leaf,use_existing,Cost article - Транспорт,,existing,,
Расходы,,,Проживание,Постоянные > Командировочные > Проживание,Постоянные > Командировочные,3,no,leaf,use_existing,Cost article - Проживание,,existing,,
Расходы,,,Прочие расходы,Постоянные > Прочие расходы,Постоянные,2,yes,observed_rollup,use_existing,Other expenses,,existing,,
Расходы,,,Курсовая разница (-),Постоянные > Прочие расходы > Курсовая разница (-),Постоянные > Прочие расходы,3,no,leaf,use_existing,Cost article - Курсовая разница (-),,existing,Other expenses,
Расходы,,,Амортизация,Постоянные > Прочие расходы > Амортизация,Постоянные > Прочие расходы,3,no,leaf,use_existing,Cost article - Амортизация,,existing,Other expenses,
Расходы,,,Проценты по кредитам и займам,Постоянные > Прочие расходы > Проценты по кредитам и займам,Постоянные > Прочие расходы,3,no,leaf,use_existing,Cost article - Проценты по кредитам и займам,,existing,Other expenses,
Расходы,,,Налог на прибыль (доходы),Переменные > Налог на прибыль (доходы),Переменные,2,no,leaf,use_existing,Cost article - Налог на прибыль (доходы),,existing,Taxes and contributions,
