row_number,col_a,col_b,ingestion_action,target_metric_or_metrics,import_as_source,layer,note
35,Сумма возвратов,По вине театра,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
36,Сумма возвратов,НЕ по вине театра,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
37,Сумма возвратов,% возвратов от выручки,defer_to_calculated,,no,calculated,Ratio / calculated metric.
38,Всего билетов (выкуплено через сайт и все агрегаторы),Всего билетов (выкуплено через сайт и все агрегаторы),map_to_metric,Number of tickets,yes,source,Observed tickets total.
39,Теракт-Возвраты,Теракт-Возвраты,exclude,,no,exclude,Crisis-specific legacy row.
40,Теракт - Оформлено сертификатами,Теракт - Оформлено сертификатами,exclude,,no,exclude,Crisis-specific legacy row.
41,Проведено шоу (БЕЗ СД),Проведено шоу (БЕЗ СД),map_to_metric,Number of shows,yes,source,Observed shows metric.
42,Отменено шоу (не СД),Отменено шоу (не СД),map_to_metric,Number of shows cancelled,yes,source,Observed cancellation metric.
43,Отменено шоу (не СД),"Кол-во, где не выкуплены билеты",exclude,,no,exclude,"Причинная детализация отмен, не отдельная canonical metric сейчас."
44,Отменено шоу (не СД),Кол-во из-за спецпоказов,exclude,,no,exclude,"Причинная детализация отмен, не отдельная canonical metric сейчас."
45,Отменено шоу (не СД),Кол-во из-за дефицита актёров/ мастеров,exclude,,no,exclude,"Причинная детализация отмен, не отдельная canonical metric сейчас."
46,Проведено СД,Проведено СД,map_to_metric,Number of shows,yes,source,Observed shows metric.
47,Отменено СД,Отменено СД,map_to_metric,Number of shows cancelled,yes,source,Observed cancellation metric.
48,Отменено СД,"Кол-во, где не выкуплены билеты",exclude,,no,exclude,"Причинная детализация отмен, не отдельная canonical metric сейчас."
49,Отменено СД,Кол-во из-за спецпоказов,exclude,,no,exclude,"Причинная детализация отмен, не отдельная canonical metric сейчас."
50,Отменено СД,Кол-во из-за дефицита актёров/ мастеров,exclude,,no,exclude,"Причинная детализация отмен, не отдельная canonical metric сейчас."
51,Зрители дошедшие (без зрителей СД),Зрители дошедшие (без зрителей СД),map_to_metric,Number of show visitors,yes,source,Observed visitors metric.
52,Зрители дошедшие СД,Зрители дошедшие СД,map_to_metric,Number of show visitors,yes,source,Observed visitors metric.
53,Зрители по сертификатам,Зрители по сертификатам,map_to_metric,Number of certificate visitors,yes,source,Observed visitors metric.
54,Сложность составления расписания (1 min-5max),Сложность составления расписания (1 min-5max),map_to_metric,Scheduling complexity,yes,source,Observed operational metric.
55,Средняя загрузка шоу (по факту дошедшие зрители),Средняя загрузка шоу (по факту дошедшие зрители),defer_to_calculated,,no,calculated,Calculated layer.
56,Средняя загрузка шоу (выкупленные билеты),Средняя загрузка шоу (выкупленные билеты),defer_to_calculated,,no,calculated,Calculated layer.
57,Средняя загрузка СД (по факту дошедшие зрители),Средняя загрузка СД (по факту дошедшие зрители),defer_to_calculated,,no,calculated,Calculated layer.
58,Средняя загрузка СД (выкупленные билеты),Средняя загрузка СД (выкупленные билеты),defer_to_calculated,,no,calculated,Calculated layer.
59,Маркетинг,Маркетинг,decompose_block,,no,exclude,Block header.
60,Маркетинг Каналы,Таргет c НДС_VK,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
61,Маркетинг Каналы,Таргет с НДС_MT,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
62,Маркетинг Каналы,Таргет с НДС_FB,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
63,Маркетинг Каналы,Ведение_таргет,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
64,Маркетинг Каналы,Youtube ведение,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
65,Маркетинг Каналы,Youtube бюджет,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
66,Маркетинг Каналы,Таргет_бюджет с НДС,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
67,Маркетинг Каналы,Контекст_бюджет с НДС_Яндекс,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
68,Маркетинг Каналы,Контекст_ведение_Яндекс,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
69,Маркетинг Каналы,Контекст_бюджет с НДС_Гугл,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
70,Маркетинг Каналы,Контекст_ведение_Гугл,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
71,Маркетинг Каналы,Пиар,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
72,Маркетинг Каналы,Прочие затраты,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
73,Маркетинг Каналы,Общие затраты,map_to_metric,Marketing costs,yes,source,Channel-level marketing cost row.
74,Маркетинг Каналы,% общ. к выручке,defer_to_calculated,,no,calculated,Ratio / calculated metric.
75,,,blank,,no,exclude,Пустая строка-разделитель.
76,САЙТ,САЙТ,decompose_block,Website visits; Number of orders; Number of tickets; Revenue,no,exclude,Block header / mixed site block row.
77,САЙТ,cеансы (морфеус) ВИЗИТЫ БЕЗ corporative,map_to_metric,Website visits,yes,source,Observed website visits.
78,САЙТ,заказов всего (Я.билеты),map_to_metric,Number of orders,yes,source,Observed orders metric.
79,САЙТ,билетов всего (Я.билеты),map_to_metric,Number of tickets,yes,source,Observed tickets metric.
80,САЙТ,"конверсия в заказ,%",defer_to_calculated,,no,calculated,Conversion ratio belongs to calculated layer.
81,САЙТ,"конверсия в билет из сеанса, %",defer_to_calculated,,no,calculated,Conversion ratio belongs to calculated layer.
82,САЙТ,сеансы corporative ВИЗИТЫ,map_to_metric,Website visits,yes,source,Website visits metric.
83,САЙТ,визиты(immersivny),map_to_metric,Website visits,yes,source,Observed website visits.
84,САЙТ,кол-во покупок immersviny (промокоды),map_to_metric,Number of orders,yes,source,Observed orders metric.
85,САЙТ,покупок в деньгах immersivny,map_to_metric,Revenue,yes,source,Observed revenue metric.
86,САЙТ,покупок сервисы корп. привилегий,map_to_metric,Number of orders,yes,source,Observed orders metric.
87,САЙТ,покупок в деньгах сервисы корп.привилегий,map_to_metric,Revenue,yes,source,Observed revenue metric.
88,,,blank,,no,exclude,Пустая строка-разделитель.
89,ФРАНШИЗА,ФРАНШИЗА,decompose_block,Revenue; Number of leads; Quality - External,no,exclude,Block header or mixed row.
90,ФРАНШИЗА,Кол-во заявок всего,map_to_metric,Number of leads,yes,source,Observed franchise lead metric.
91,ФРАНШИЗА,"Кол-во завок_ ""качественные""",map_to_metric,Number of leads,yes,source,Observed franchise lead metric.
92,ФРАНШИЗА,"Кол-во заявок_""левые""",map_to_metric,Number of leads,yes,source,Observed franchise lead metric.
93,,,blank,,no,exclude,Пустая строка-разделитель.
94,КОРПОРАТИВЫ,КОРПОРАТИВЫ,decompose_block,Number of leads; Number of creative meetings,no,exclude,Block header.
95,КОРПОРАТИВЫ,Кол-во новых заявок ,map_to_metric,Number of leads,yes,source,Observed B2B lead metric.
96,КОРПОРАТИВЫ,В работе сейчас,exclude,,no,exclude,"Pipeline status snapshot, not canonical fact yet."
97,,,blank,,no,exclude,Пустая строка-разделитель.
98,ОТЗЫВЫ,ОТЗЫВЫ,decompose_block,Quality - External,no,exclude,Block header.
99,ОТЗЫВЫ,Кол-во новых на Яндекс-картах (всего),map_to_metric,Quality - External,yes,source,Observed external quality metric.
100,ОТЗЫВЫ,Из них настоящих,map_to_metric,Quality - External,yes,source,Observed external quality metric.
101,ОТЗЫВЫ,Из них ненастоящих,map_to_metric,Quality - External,yes,source,Observed external quality metric.
102,ОТЗЫВЫ,Средняя оценка по отзывам за неделю (общая),map_to_metric,Quality - External,yes,source,Observed external quality metric.
103,ОТЗЫВЫ,Средняя оценка по отзывам за неделю (по настоящим),map_to_metric,Quality - External,yes,source,Observed external quality metric.
104,ОТЗЫВЫ,Процент негативных (от посетивших),map_to_metric,Quality - External,yes,source,Observed external quality metric.
105,ОТЗЫВЫ,Ликвидировано негативных,map_to_metric,Quality - External,yes,source,Observed external quality metric.
106,ОТЗЫВЫ,"Средняя оценка за неделю без негативных, если ликвидировали (общая)",map_to_metric,Quality - External,yes,source,Observed external quality metric.
107,ОТЗЫВЫ,Средняя общая,map_to_metric,Quality - External,yes,source,Observed external quality metric.
108,ОЦЕНКИ НА ПЛАНШЕТЕ,ОЦЕНКИ НА ПЛАНШЕТЕ,decompose_block,Quality - Internal,no,exclude,Block header.
109,ОЦЕНКИ НА ПЛАНШЕТЕ,Процент заполнивших от всех зрителей,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
110,ОЦЕНКИ НА ПЛАНШЕТЕ,Средняя оценка,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
111,ОЦЕНКИ НА ПЛАНШЕТЕ,Ответ Гиппократа,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
112,ОЦЕНКИ НА ПЛАНШЕТЕ,22’07,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
113,ОЦЕНКИ НА ПЛАНШЕТЕ,До свадьбы доживет,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
114,ОЦЕНКИ НА ПЛАНШЕТЕ,Загадка амулета,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
115,ОЦЕНКИ НА ПЛАНШЕТЕ,ВДОХ,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
116,ОЦЕНКИ НА ПЛАНШЕТЕ,Иное Место,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
117,ОЦЕНКИ НА ПЛАНШЕТЕ,Судный день,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
118,Откуда пришли,Откуда пришли,map_to_metric,Source share,yes,source,Observed source-share metric.
119,Откуда пришли,От друзей,map_to_metric,Source share,yes,source,Observed source-share metric.
120,Откуда пришли,Наш сайт,map_to_metric,Source share,yes,source,Observed source-share metric.
121,Откуда пришли,Яндекс Афиша,map_to_metric,Source share,yes,source,Observed source-share metric.
122,Откуда пришли,"Карты Яндекс, Google, 2ГИС",map_to_metric,Source share,yes,source,Observed source-share metric.
123,Откуда пришли,Уже был,map_to_metric,Source share,yes,source,Observed source-share metric.
124,Откуда пришли,Подарили сертификат,map_to_metric,Source share,yes,source,Observed source-share metric.
125,Откуда пришли,Другое,map_to_metric,Source share,yes,source,Observed source-share metric.
126,Откуда пришли,Афиша.ру (Т-банк),map_to_metric,Source share,yes,source,Observed source-share metric.
127,Откуда пришли,Google поиск,map_to_metric,Source share,yes,source,Observed source-share metric.
128,Откуда пришли,Яндекс поиск,map_to_metric,Source share,yes,source,Observed source-share metric.
129,Откуда пришли,Яндекс реклама (РЕКЛАМА В ИНЕТЕ),map_to_metric,Source share,yes,source,Observed source-share metric.
130,Откуда пришли,Instagram (СОЦ СЕТИ),map_to_metric,Source share,yes,source,Observed source-share metric.
131,Откуда пришли,Kuda Moscow,map_to_metric,Source share,yes,source,Observed source-share metric.
132,Откуда пришли,Kuda go,map_to_metric,Source share,yes,source,Observed source-share metric.
133,Откуда пришли,Иммерсивный.ру,map_to_metric,Source share,yes,source,Observed source-share metric.
134,Откуда пришли,ВК,map_to_metric,Source share,yes,source,Observed source-share metric.
135,Откуда пришли,Сервис Best Benefits,map_to_metric,Source share,yes,source,Observed source-share metric.
136,Откуда пришли,Тикетленд,map_to_metric,Source share,yes,source,Observed source-share metric.
137,Откуда пришли,Primezone,map_to_metric,Source share,yes,source,Observed source-share metric.
138,ОКК,ОКК,decompose_block,Quality - Internal,no,exclude,Block header.
139,ОКК,Кол-во отсмотренных спектаклей,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
140,ОКК,Процент без нарушений от отсмотренных,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
141,ОКК,Количество предупреждений,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
142,ОКК,Количество штрафов,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
143,ОКК,Количество отстранений от спектакля,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
144,ПРОТОКОЛ-БОТ,ПРОТОКОЛ-БОТ,decompose_block,Quality - Internal,no,exclude,Block header.
145,ПРОТОКОЛ-БОТ,Процент заполненных протоколов ДО спектакля,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
146,ПРОТОКОЛ-БОТ,Процент заполненных протоколов ПОСЛЕ спектакля,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
147,ПРОТОКОЛ-БОТ,,decompose_block,Quality - Internal,no,exclude,Block header.
148,ПРОТОКОЛ-БОТ,Всего заполненных ОГ,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
149,ПРОТОКОЛ-БОТ,Процент от общего количества ОГ,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
150,ПРОТОКОЛ-БОТ,Из них,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
151,ПРОТОКОЛ-БОТ,ГАМАЗ,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
152,ПРОТОКОЛ-БОТ,НИКОЛА,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
153,ПРОТОКОЛ-БОТ,МАКС,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
154,ПРОТОКОЛ-БОТ,ГЛЕБ,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
155,ПРОТОКОЛ-БОТ,КСЕНИЯ,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
156,ПРОТОКОЛ-БОТ,АНДРЕЙ,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
157,ПРОТОКОЛ-БОТ,АЛЕКС,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
158,ПРОТОКОЛ-БОТ,ТЁМА,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
159,ПРОТОКОЛ-БОТ,ВАСИЛИЙ,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
160,ПРОТОКОЛ-БОТ,ИВАН,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
161,ПРОТОКОЛ-БОТ,СЕРЖ,map_to_metric,Quality - Internal,yes,source,Observed internal quality metric.
162,Процент ОГ с убийствами,Процент ОГ с убийствами,map_to_metric,Share of OG with murders,yes,source,Observed ratio metric.
163,Процент ОГ с убийствами,ГАМАЗ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
164,Процент ОГ с убийствами,НИКОЛА,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
165,Процент ОГ с убийствами,МАКС,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
166,Процент ОГ с убийствами,ГЛЕБ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
167,Процент ОГ с убийствами,КСЕНИЯ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
168,Процент ОГ с убийствами,АНДРЕЙ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
169,Процент ОГ с убийствами,АЛЕКС,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
170,Процент ОГ с убийствами,ТЁМА,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
171,Процент ОГ с убийствами,ВАСИЛИЙ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
172,Процент ОГ с убийствами,ИВАН,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
173,Процент ОГ с убийствами,СЕРЖ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
174,Процент ОГ с убийствами больше 1,Процент ОГ с убийствами больше 1,map_to_metric,Share of OG with more than one murder,yes,source,Observed ratio metric.
175,Процент ОГ с 1 убийством,Процент ОГ с 1 убийством,map_to_metric,Share of OG with one murder,yes,source,Observed ratio metric.
176,Количество погибших всего на ОГ,Количество погибших всего на ОГ,map_to_metric,Number of deaths on OG,yes,source,Observed incident metric.
177,Количество погибших всего на ОГ,ГАМАЗ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
178,Количество погибших всего на ОГ,НИКОЛА,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
179,Количество погибших всего на ОГ,МАКС,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
180,Количество погибших всего на ОГ,ГЛЕБ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
181,Количество погибших всего на ОГ,КСЕНИЯ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
182,Количество погибших всего на ОГ,АНДРЕЙ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
183,Количество погибших всего на ОГ,АЛЕКС,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
184,Количество погибших всего на ОГ,ТЁМА,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
185,Количество погибших всего на ОГ,ВАСИЛИЙ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
186,Количество погибших всего на ОГ,ИВАН,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
187,Количество погибших всего на ОГ,СЕРЖ,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
188,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог","Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",map_to_metric,Share killed of total viewers passed through master on OG,yes,source,Observed ratio metric.
189,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Глеб,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
190,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Гамаз,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
191,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Тёма,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
192,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Макс,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
193,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Андрей,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
194,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Василий,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
195,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Ксения,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
196,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Иван,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
197,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Никола,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
198,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Сергей,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
199,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Алекс,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
200,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Антон,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
201,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Александра,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
202,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Вильдан,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
203,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",Вася Б,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
204,Процент ОГ со смертями на фельдшера (по таблице ОКК),Процент ОГ со смертями на фельдшера (по таблице ОКК),map_to_metric,Share of OG with deaths on paramedic,yes,source,Observed ratio metric.
205,Процент ОГ со смертями на фельдшера (по таблице ОКК),Серж,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
206,Процент ОГ со смертями на фельдшера (по таблице ОКК),Ксюша,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
207,Процент ОГ со смертями на фельдшера (по таблице ОКК),Никола,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
208,Процент ОГ со смертями на фельдшера (по таблице ОКК),Алекс,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
209,Процент ОГ со смертями на фельдшера (по таблице ОКК),Вася Б,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
210,Процент ОГ со смертями на фельдшера (по таблице ОКК),Ваня,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
211,Процент ОГ со смертями на фельдшера (по таблице ОКК),Дима Лещук,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
212,Процент ОГ со смертями на фельдшера (по таблице ОКК),Сёма,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
213,Процент ОГ со смертями на фельдшера (по таблице ОКК),Женя,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
214,Процент ОГ со смертями на фельдшера (по таблице ОКК),Антон,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
215,Процент ОГ со смертями на фельдшера (по таблице ОКК),Илья,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
216,Процент ОГ со смертями на фельдшера (по таблице ОКК),Андрей М,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
217,Процент ОГ со смертями на фельдшера (по таблице ОКК),Алина,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
218,Процент ОГ со смертями на фельдшера (по таблице ОКК),Альбина,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
219,Процент ОГ со смертями на фельдшера (по таблице ОКК),Андрей,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
220,Процент ОГ со смертями на фельдшера (по таблице ОКК),Артём,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
221,Процент ОГ со смертями на фельдшера (по таблице ОКК),Вася,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
222,Процент ОГ со смертями на фельдшера (по таблице ОКК),Вильдан,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
223,Процент ОГ со смертями на фельдшера (по таблице ОКК),Гамаз,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
224,Процент ОГ со смертями на фельдшера (по таблице ОКК),Жора,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
225,Процент ОГ со смертями на фельдшера (по таблице ОКК),Глеб,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
226,Процент ОГ со смертями на фельдшера (по таблице ОКК),Олег,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
227,Процент ОГ со смертями на фельдшера (по таблице ОКК),Полина,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
228,Процент ОГ со смертями на фельдшера (по таблице ОКК),Тёма,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
229,"Процент ОГ, где зрители вышли за фельдшером/ выжили","Процент ОГ, где зрители вышли за фельдшером/ выжили",map_to_metric,Share of OG where viewers went for paramedic and survived,yes,source,Observed ratio metric.
230,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили","Процент ОГ, где зрители не вышли за фельдшером/ не выжили",map_to_metric,Share of OG where viewers did not go for paramedic and did not survive,yes,source,Observed ratio metric.
231,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Серж,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
232,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Ксюша,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
233,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Никола,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
234,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Алекс,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
235,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Вася Б,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
236,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Ваня,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
237,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Дима Лещук,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
238,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Сёма,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
239,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Женя,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
240,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Антон,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
241,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",Илья,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
