metric_name,business_unit,show_scope,partner_scope,channel_scope,frequency,source_role,source_system,where_from,how_counted,reference_doc,status_note,source_row_ref
Average review rating weekly without negatives after resolution,b2c_moscow,general,general,general,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,live_add_metric_moscow_106
Average review rating weekly without negatives after resolution,b2c_spb,general,general,general,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,live_add_metric_spb_63
Bonuses 2025,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,27
Cost article - IT ФОТ,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - IT ФОТ,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - IT ФОТ,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - IT ФОТ,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - IT ФОТ,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Агентские,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,32
Cost article - Административный персонал ФОТ,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Административный персонал ФОТ,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Административный персонал ФОТ,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Административный персонал ФОТ,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Административный персонал ФОТ,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Актёры ФОТ,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Амортизация,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Аренда и коммуналка,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Возвраты,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Доставка,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Доставка,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Доставка,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Доставка,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Доставка,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,b2c_spb,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,franchise,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,general,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Мебель и предметы интерьера,b2b,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
Cost article - Мебель и предметы интерьера,b2c_moscow,general,general,general,month,primary,planfact,PlanFact reference layer,Imported from monthly PlanFact P&L report workbook by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,planfact_article_catalog_2026_05_01
