metric_key,metric_name,business_unit,show_scope,partner_scope,channel_scope,frequency,source_role,source_system,how_counted,reference_doc,status_note,source_row_ref
average_review_rating_overall,Average review rating overall,b2c_spb,general,general,general,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,live_add_metric_spb_64
average_review_rating_weekly_genuine,Average review rating weekly genuine,b2c_moscow,general,general,general,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,live_add_metric_moscow_103
average_review_rating_weekly_genuine,Average review rating weekly genuine,b2c_spb,general,general,general,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,live_add_metric_spb_60
average_review_rating_weekly_overall,Average review rating weekly overall,b2c_moscow,general,general,general,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,live_add_metric_moscow_102
average_review_rating_weekly_overall,Average review rating weekly overall,b2c_spb,general,general,general,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,live_add_metric_spb_59
average_review_rating_weekly_without_negatives_after_resolution,Average review rating weekly without negatives after resolution,b2c_moscow,general,general,general,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,live_add_metric_moscow_106
average_review_rating_weekly_without_negatives_after_resolution,Average review rating weekly without negatives after resolution,b2c_spb,general,general,general,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,live_add_metric_spb_63
business_travel_costs,Business travel costs,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_43
business_travel_costs,Business travel costs,general,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (7).xlsx:row_23
business_travel_costs,Business travel costs,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_58
cost_article_expense_rashody_fot_it_fot,Cost article - IT ФОТ,b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_13
cost_article_expense_rashody_fot_it_fot,Cost article - IT ФОТ,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_18
cost_article_expense_rashody_fot_it_fot,Cost article - IT ФОТ,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_12
cost_article_expense_rashody_fot_it_fot,Cost article - IT ФОТ,general,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (7).xlsx:row_11
cost_article_expense_rashody_fot_it_fot,Cost article - IT ФОТ,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_23
cost_article_expense_rashody_fot_administrativnyy_personal_fot,Cost article - Административный персонал ФОТ,b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_23
cost_article_expense_rashody_fot_administrativnyy_personal_fot,Cost article - Административный персонал ФОТ,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_39
cost_article_expense_rashody_fot_administrativnyy_personal_fot,Cost article - Административный персонал ФОТ,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_32
cost_article_expense_rashody_fot_administrativnyy_personal_fot,Cost article - Административный персонал ФОТ,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_46
cost_article_expense_rashody_prochie_rashody_amortizatsiya,Cost article - Амортизация,b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_38
cost_article_expense_rashody_prochie_rashody_amortizatsiya,Cost article - Амортизация,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_58
cost_article_expense_rashody_prochie_rashody_amortizatsiya,Cost article - Амортизация,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_52
cost_article_expense_rashody_prochie_rashody_amortizatsiya,Cost article - Амортизация,franchise,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (9).xlsx:row_27
cost_article_expense_rashody_prochie_rashody_amortizatsiya,Cost article - Амортизация,general,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (7).xlsx:row_31
cost_article_expense_rashody_prochie_rashody_amortizatsiya,Cost article - Амортизация,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_67
cost_article_expense_rashody_pomeschenie_i_ofis_arenda_i_kommunalka,Cost article - Аренда и коммуналка,b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_27
cost_article_expense_rashody_pomeschenie_i_ofis_arenda_i_kommunalka,Cost article - Аренда и коммуналка,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_46
cost_article_expense_rashody_pomeschenie_i_ofis_arenda_i_kommunalka,Cost article - Аренда и коммуналка,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_39
cost_article_expense_rashody_pomeschenie_i_ofis_arenda_i_kommunalka,Cost article - Аренда и коммуналка,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_54
cost_article_expense_rashody_logistika_dostavka,Cost article - Доставка,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_34
cost_article_expense_rashody_logistika_dostavka,Cost article - Доставка,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_27
cost_article_expense_rashody_logistika_dostavka,Cost article - Доставка,franchise,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (9).xlsx:row_18
cost_article_expense_rashody_logistika_dostavka,Cost article - Доставка,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_41
cost_article_expense_rashody_drugoe,Cost article - Другое,b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_16
cost_article_expense_rashody_drugoe,Cost article - Другое,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_24
cost_article_expense_rashody_drugoe,Cost article - Другое,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_18
cost_article_expense_rashody_drugoe,Cost article - Другое,franchise,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (9).xlsx:row_14
cost_article_expense_rashody_drugoe,Cost article - Другое,general,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (7).xlsx:row_12
cost_article_expense_rashody_drugoe,Cost article - Другое,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_30
cost_article_expense_rashody_fot_drugoe_fot,Cost article - Другое ФОТ,b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_12
cost_article_expense_rashody_fot_drugoe_fot,Cost article - Другое ФОТ,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_17
cost_article_expense_rashody_fot_drugoe_fot,Cost article - Другое ФОТ,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_11
cost_article_expense_rashody_fot_drugoe_fot,Cost article - Другое ФОТ,franchise,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (9).xlsx:row_13
cost_article_expense_rashody_fot_drugoe_fot,Cost article - Другое ФОТ,general,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (7).xlsx:row_10
cost_article_expense_rashody_fot_drugoe_fot,Cost article - Другое ФОТ,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_22
cost_article_expense_rashody_pomeschenie_i_ofis_ezhemesyachnye_scheta,Cost article - Ежемесячные счета,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_45
cost_article_expense_rashody_pomeschenie_i_ofis_ezhemesyachnye_scheta,Cost article - Ежемесячные счета,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_38
cost_article_expense_rashody_pomeschenie_i_ofis_ezhemesyachnye_scheta,Cost article - Ежемесячные счета,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_53
cost_article_expense_rashody_servisy_i_ih_nastroyka_komissii_bankov,Cost article - КОМИССИИ БАНКОВ,b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_29
cost_article_expense_rashody_servisy_i_ih_nastroyka_komissii_bankov,Cost article - КОМИССИИ БАНКОВ,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_48
cost_article_expense_rashody_servisy_i_ih_nastroyka_komissii_bankov,Cost article - КОМИССИИ БАНКОВ,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_41
cost_article_expense_rashody_servisy_i_ih_nastroyka_komissii_bankov,Cost article - КОМИССИИ БАНКОВ,general,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (7).xlsx:row_21
cost_article_expense_rashody_servisy_i_ih_nastroyka_komissii_bankov,Cost article - КОМИССИИ БАНКОВ,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_56
cost_article_expense_rashody_agentskie_komissiya,Cost article - Комиссия,b2b,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_agentskie_komissiya,Cost article - Комиссия,b2c_moscow,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_agentskie_komissiya,Cost article - Комиссия,b2c_spb,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_agentskie_komissiya,Cost article - Комиссия,franchise,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_agentskie_komissiya,Cost article - Комиссия,general,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_fot_korporativy_fiks,Cost article - Корпоративы фикс,b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_24
cost_article_expense_rashody_fot_korporativy_fiks,Cost article - Корпоративы фикс,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_47
cost_article_expense_rashody_prochie_rashody_kursovaya_raznitsa,Cost article - Курсовая разница (-),b2b,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_prochie_rashody_kursovaya_raznitsa,Cost article - Курсовая разница (-),b2c_moscow,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_prochie_rashody_kursovaya_raznitsa,Cost article - Курсовая разница (-),b2c_spb,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_prochie_rashody_kursovaya_raznitsa,Cost article - Курсовая разница (-),franchise,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_prochie_rashody_kursovaya_raznitsa,Cost article - Курсовая разница (-),general,general,general,general,month,primary,planfact,Imported from PlanFact P&L / article catalog by expense article,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,planfact_article_catalog_2026_05_01
cost_article_expense_rashody_pomeschenie_i_ofis_mebel_i_predmety_interera,Cost article - Мебель и предметы интерьера,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_42
cost_article_expense_rashody_pomeschenie_i_ofis_mebel_i_predmety_interera,Cost article - Мебель и предметы интерьера,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_35
cost_article_expense_rashody_pomeschenie_i_ofis_mebel_i_predmety_interera,Cost article - Мебель и предметы интерьера,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_50
cost_article_expense_rashody_prochie_rashody_nalog_na_pribyl_dohody,Cost article - Налог на прибыль (доходы),b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_44
cost_article_expense_rashody_prochie_rashody_nalog_na_pribyl_dohody,Cost article - Налог на прибыль (доходы),b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_64
cost_article_expense_rashody_prochie_rashody_nalog_na_pribyl_dohody,Cost article - Налог на прибыль (доходы),b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_58
cost_article_expense_rashody_prochie_rashody_nalog_na_pribyl_dohody,Cost article - Налог на прибыль (доходы),franchise,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (9).xlsx:row_33
cost_article_expense_rashody_prochie_rashody_nalog_na_pribyl_dohody,Cost article - Налог на прибыль (доходы),general,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (7).xlsx:row_37
cost_article_expense_rashody_prochie_rashody_nalog_na_pribyl_dohody,Cost article - Налог на прибыль (доходы),total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_73
